Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Dec 2025 12:52:46 AM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025,Percentage,Sum total years,Percentage of total
Austria,,,,2,,16,108,149,11,24,16,27,56,201,74,78,61,47,1,12,99,123,93,37,31,12,12,,8,72,177,73,97,145,13,28,19,7,117,84,5,6,5,8,52,30,9,190,247,48,25,15,81,41,56,26,5,269,190,286,5,6,6,5,2,1,13,10,6,18,14,34,5,17,13,,3876,0.2%,3876,0.2%
South Yemen,,,,,,,,,,,,,,,,,,29,13,58,17,50,112,86,71,14,,8,55,1078,1218,496,41,99,71,52,74,89,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3792,0.2%,3792,0.2%
Albania,20,10,21,35,37,98,113,54,59,141,69,74,42,12,8,140,74,163,265,297,250,332,134,106,137,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,1,1,5,1,1,,1,12,,2856,0.1%,2856,0.1%
Sri Lanka,0 ,,0 ,17,,8,1,2,20,31,4,,,,0 ,,,,,2,,33,47,,,1,0 ,17,7,,18,,,,48,42,28,111,19,6,19,168,22,37,77,64,207,48,83,62,289,159,43,34,48,57,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,9,,2496,0.1%,2496,0.1%
Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,49,0 ,4,26,14,14,10,73,14,122,103,56,60,103,116,314,,56,17,48,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,49,7,39,98,181,15,16,19,33,33,78,,2493,0.1%,2493,0.1%
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,167,,,1,52,158,70,585,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,,,2426,0.1%,2426,0.1%
Mongolia,,5,28,5,3,10,9,12,12,,10,66,90,86,120,137,116,63,15,22,15,13,8,58,76,195,31,30,47,29,60,72,156,118,114,98,27,36,27,,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,,17,,25,3,,,,2294,0.1%,2294,0.1%
North Yemen,0 ,,4,,,1,,40,8,,,23,,1,,,1,,,,,,,,9,9,0 ,13,14,740,705,154,45,9,104,108,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,0.1%,2070,0.1%
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,208,161,151,,1976,0.1%,1976,0.1%
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,90,,8,25,10,121,184,207,113,127,94,62,5,1,6,75,219,467,,1852,0.1%,1852,0.1%
DR Congo,,,,,,,,,,,2,9,13,32,64,23,26,16,7,28,19,165,15,5,9,445,132,31,38,15,10,12,15,5,16,1,1,36,1,,5,,2,,,0 ,61,6,10,46,89,11,18,,,26,24,,18,37,156,,15,1,,3,43,,1,,6,,,27,35,,1831,0.1%,1831,0.1%
Lebanon,0 ,,1,8,3,17,,40,71,11,,5,13,18,,34,72,80,1,,,10,52,54,41,11,4,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,50,53,56,45,43,30,14,9,,1768,0.1%,1768,0.1%
Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0 ,26,9,2,28,25,17,58,211,56,119,144,85,17,12,6,26,178,,47,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,6,18,71,4,1,,17,,1730,0.1%,1730,0.1%
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,28,237,112,69,72,169,433,108,,,,382,,,,,1692,0.1%,1692,0.1%
unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,85,86,87,87,87,87,87,87,41,,11,11,19,5,9,3,,4,,,2,,0 ,0 ,,,,12,,8,6,,32,33,13,32,15,21,48,36,7,6,3,,,1670,0.1%,1670,0.1%
Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,,5,19,24,33,40,32,122,28,82,94,26,10,37,34,171,98,7,113,4,180,66,6,16,18,22,16,,,44,41,6,,,,,30,,19,30,11,,,115,,1646,0.1%,1646,0.1%
Tanzania,,,,,,,,,,,,,,,4,4,22,1,,,11,60,51,121,185,48,,47,67,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,118,14,20,20,2,17,,8,52,,,,,1645,0.1%,1645,0.1%
Cambodia,,,,,4,19,36,10,4,2,1,2,5,11,41,43,37,20,15,18,6,22,106,115,25,,,,43,,34,,,13,67,69,134,50,10,123,48,,,2,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,32,54,,,1638,0.1%,1638,0.1%
Uganda,,,,,,,,,,,,,,,3,1,16,4,27,16,3,3,20,17,46,123,34,7,,,,,14,,,10,,32,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0 ,14,28,37,468,213,20,2,7,1,22,10,23,76,8,65,16,,,1620,0.1%,1620,0.1%
Somalia,,,,,,,,,,,11,2,0 ,11,,31,53,72,4,1,,,24,165,283,128,185,44,57,48,122,97,61,23,15,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,4,4,,1538,0.1%,1538,0.1%
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,9,0 ,1,13,57,42,94,6,600,46,10,25,6,12,70,20,14,,0 ,,,7,1,8,32,69,148,50,,1377,0.1%,1377,0.1%
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,28,34,152,494,111,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0 ,0 ,9,16,5,46,,3,22,1,18,5,3,1,,1361,0.1%,1361,0.1%
Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,165,29,19,9,48,109,41,42,4,136,253,43,,18,,,,,,,,,,,,8,,,,43,,2,,,0 ,30,5,2,,,1,61,,,15,44,46,,43,3,20,2,5,1,,1294,0.1%,1294,0.1%
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,14,7,1,1,27,,,,,,,1,,16,,0 ,,,,23,65,4,84,145,115,164,419,153,,1252,0.1%,1252,0.1%
Uruguay,68,3,39,3,1,2,22,12,9,,17,0 ,100,0 ,2,8,6,,10,12,10,16,24,6,5,13,53,2,8,9,21,100,15,17,,12,,,16,41,39,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,7,,10,,1166,0.1%,1166,0.1%
Nicaragua,,,,3,15,27,1,4,6,,2,8,6,6,2,0 ,2,,,,,5,5,10,,,8,19,13,,,44,69,50,167,90,91,157,63,14,107,1,,,,,,,,,,,,,,,,14,,15,,,,,13,14,86,7,,13,,,,,,,1154,0.1%,1154,0.1%
Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,10,23,17,14,44,1,37,21,134,26,,35,54,1,94,26,59,,29,18,,8,,,,,,,43,22,30,7,,,0 ,,4,,,7,26,,15,19,19,,7,,2,123,27,17,3,,3,7,,1135,0.1%,1135,0.1%
Zimbabwe,1,11,2,7,35,27,8,,61,,15,,16,20,,,,21,,,,5,21,0 ,2,42,19,4,13,,,15,81,34,33,28,212,29,2,,2,47,63,0 ,,,,,1,25,8,10,,16,14,25,25,,,,,,,,,,,,,,,,,20,,,1018,0.0%,1018,0.0%
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,32,29,7,21,,1004,0.0%,1004,0.0%
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,,0 ,73,10,14,34,7,8,38,119,109,75,111,51,,986,0.0%,986,0.0%
Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,1,1,15,1,0 ,,46,64,,8,12,85,60,,13,,,,4,4,,,,,17,31,7,4,,5,1,0 ,0 ,1,1,,,33,33,229,20,15,121,36,,,,,,0 ,,11,28,,957,0.0%,957,0.0%
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0 ,,29,,1,4,,0 ,0 ,10,9,,2,5,,,,47,34,15,25,1,3,30,298,,922,0.0%,922,0.0%
Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,13,19,28,39,,18,7,38,48,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,37,0 ,0 ,16,,6,2,76,39,52,14,13,22,,0 ,2,10,,40,8,11,,901,0.0%,901,0.0%
Cameroon,,,,,,,,,,,,0 ,,2,0 ,2,2,3,3,,,8,1,15,,,29,73,,1,,28,113,5,125,16,11,5,1,3,8,,3,,,,5,6,9,4,,6,10,,,5,3,,1,,10,,9,139,124,9,23,8,2,4,2,4,2,2,,,845,0.0%,845,0.0%
Senegal,,,,,,,,,,,0 ,8,,0 ,4,0 ,2,,1,38,,12,,1,17,,15,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,172,77,,845,0.0%,845,0.0%
Ireland,2,,,18,,,8,,1,,1,,,2,12,,,,,,,14,27,8,6,9,,5,28,27,44,12,3,,11,2,38,,24,,,11,,,41,,,,3,33,0 ,42,21,,27,5,13,26,32,,4,,,,40,43,43,2,5,35,9,,1,63,,,800,0.0%,800,0.0%
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,,5,1,,,7,41,6,,,2,0 ,17,,795,0.0%,795,0.0%
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,52,39,28,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,2,34,26,,,,0 ,,765,0.0%,765,0.0%
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,29,53,1,12,45,,,,57,2,24,8,,,20,103,4,10,18,18,,27,11,20,13,3,5,,,29,89,90,,719,0.0%,719,0.0%
Chad,,,,,,,,,,,1,1,,,,0 ,,,,,,4,,3,13,10,8,3,,,10,,,37,9,1,29,28,9,56,,,,,3,1,,,7,7,,16,,,,,18,30,83,36,42,1,4,59,58,1,2,6,7,1,4,43,5,32,4,,692,0.0%,692,0.0%
Mali,,,,,,,,,,,,3,10,4,,,1,12,,2,,15,,,,11,89,,,,,91,4,15,13,0 ,,,2,,1,,,,0 ,,,9,4,,7,,1,3,,13,,8,3,10,,0 ,9,7,1,,22,32,27,18,44,38,62,82,10,,683,0.0%,683,0.0%
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,7,43,53,212,31,20,57,18,17,80,99,,4,,,,,,,,,,,,,,,,,,,682,0.0%,682,0.0%
Gabon,,,,,,,,,,,,3,,,3,0 ,2,,4,4,1,24,,2,11,34,47,28,76,,33,36,5,11,99,2,8,10,22,,29,,,,,,,,,,,,,,7,,20,18,,,27,5,1,2,,5,3,,,26,,2,,16,1,,625,0.0%,625,0.0%
Honduras,,1,2,,1,,9,1,12,1,,,14,,,1,6,,,20,,,,2,,31,30,34,33,9,13,31,34,37,25,35,75,13,44,17,,,,,,,,,,,,,,,,,,,0 ,,,0 ,0 ,20,13,8,,10,1,23,0 ,4,,,7,,617,0.0%,617,0.0%
Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,21,13,,1,5,5,15,29,17,24,,19,16,,0 ,3,,,,8,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,17,5,11,,8,1,35,,1,34,,6,,2,126,,565,0.0%,565,0.0%
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,18,100,55,5,114,77,46,60,22,17,,,562,0.0%,562,0.0%
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,32,36,19,20,25,20,18,25,63,,539,0.0%,539,0.0%
Congo,,,,,,,,,,,1,1,,0 ,,0 ,,,1,24,9,27,2,,7,2,4,,35,26,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,2,2,0 ,,,8,7,4,1,0 ,,4,28,5,23,35,6,2,,,0 ,3,,3,,,,,516,0.0%,516,0.0%
Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,26,2,7,17,1,,18,,,22,15,38,56,19,,,9,,,,,2,,,0 ,,,2,,0 ,,2,0 ,,32,61,9,,,,,,,,,,6,5,5,14,10,15,3,9,22,67,3,,507,0.0%,507,0.0%
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,8,12,16,0 ,0 ,0 ,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,42,10,,505,0.0%,505,0.0%
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,11,,,,4,,26,40,4,22,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,10,10,,6,8,,,5,,5,7,76,16,11,1,11,,505,0.0%,505,0.0%
El Salvador,0 ,,,,1,1,,17,,,,,,0 ,,1,1,0 ,12,7,13,1,,1,29,46,19,10,3,11,12,5,32,21,65,42,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,2,2,2,4,1,21,,,1,1,2,4,4,7,5,0 ,,482,0.0%,482,0.0%
Dominican Republic,2,11,43,21,2,6,7,1,17,14,9,15,0 ,7,5,10,9,1,1,0 ,1,2,7,0 ,,2,12,,,,9,5,36,,25,2,0 ,,3,,,,,,,,4,,6,1,13,5,0 ,9,36,2,,,,10,51,12,,,,1,0 ,,,,4,,5,9,10,,464,0.0%,464,0.0%
Guinea,,,,,,,,,,18,33,2,,0 ,0 ,18,,7,,0 ,1,4,5,18,24,2,18,8,45,69,,1,1,1,,,39,,,40,1,1,,,,,,,4,,26,6,,2,,1,,0 ,,,5,1,4,,5,,,2,1,4,,1,,1,6,,425,0.0%,425,0.0%
Guatemala,,6,,,2,8,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,0 ,15,47,15,1,1,5,8,49,16,1,7,25,2,0 ,0 ,4,0 ,0 ,,13,4,4,2,,1,,,,,,,,,,0 ,,,,2,,,33,,,4,14,,,10,6,,,420,0.0%,420,0.0%
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,20,,,0 ,,,12,,415,0.0%,415,0.0%
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,20,31,9,5,21,2,41,2,17,17,3,3,2,,10,40,27,,,1,,,,,,,7,,26,19,,347,0.0%,347,0.0%
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,5,,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,,,,,,,54,,344,0.0%,344,0.0%
Rwanda,,,,,,,,,,,,,11,,0 ,0 ,,,,,,0 ,0 ,2,1,3,,1,,,,,,4,6,3,2,,2,2,3,5,5,,,,1,3,9,21,15,,,,,,3,20,8,11,,,5,15,15,29,,8,3,1,,58,17,37,,,325,0.0%,325,0.0%
HoR (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,11,31,188,5,5,,,,312,0.0%,312,0.0%
Togo,,,,,,,,,,,1,,,,0 ,0 ,,,1,1,2,1,,4,,15,47,1,9,9,28,19,4,2,,,16,0 ,0 ,,,9,8,,3,3,,10,,,,,,,,,,,,,1,,,,15,,,,,6,5,10,59,2,,,290,0.0%,290,0.0%
Burkina Faso,,,,,,,,,,,,1,,,1,0 ,0 ,,0 ,1,1,1,,,,14,8,9,,,0 ,9,1,16,9,2,3,,12,,,3,,7,,,,,,0 ,,,,,,12,4,4,,3,0 ,16,3,,,5,7,2,24,7,2,26,12,19,37,,280,0.0%,280,0.0%
Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,3,,,,2,57,8,,6,25,3,,3,,,,,14,,,,,,3,,,,,,6,,,,,8,1,,,,12,3,10,0 ,3,1,5,19,16,33,15,,,274,0.0%,274,0.0%
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0 ,,,11,81,17,118,,,,,0 ,,,6,,,0 ,1,,,0 ,,,,,,1,5,1,,270,0.0%,270,0.0%
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,65,2,10,36,19,8,,,,,8,10,,,,241,0.0%,241,0.0%
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,36,5,6,3,3,,1,8,1,,,,1,19,6,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,4,11,,,11,1,46,19,0 ,,,233,0.0%,233,0.0%
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,,,,,,,,,232,0.0%,232,0.0%
Paraguay,5,,1,1,,0 ,,,,,9,,11,0 ,8,1,1,5,9,,0 ,1,12,0 ,1,20,3,,9,1,18,5,3,0 ,3,35,4,,13,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0 ,,,,,,2,,5,,,,,230,0.0%,230,0.0%
Trinidad and Tobago,,,,,,,,,,,,,,,,11,0 ,,,,,,11,2,,,,,,,22,6,,,,,,0 ,,,,,,,,,,,,,11,0 ,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,,,,226,0.0%,226,0.0%
Nepal,,,,,,,,,,,,,,,,2,0 ,,,,8,8,3,5,2,15,6,,,,,1,,,3,3,,,,1,,,5,,,1,,,,,,12,10,10,36,7,,,1,,,3,,,5,15,9,1,7,37,,0 ,,,,,213,0.0%,213,0.0%
Jamaica,,,,,,,,,,,,,1,1,0 ,,,3,,,,1,,13,8,4,1,3,4,,,0 ,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,10,29,,10,10,,211,0.0%,211,0.0%
Madagascar,,,,,,,,,,,,3,,1,0 ,7,,12,1,1,,0 ,0 ,,17,6,,,,64,43,1,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,194,0.0%,194,0.0%
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,78,2,25,,,,,,,,,,,,,,,,,,0 ,,0 ,0 ,12,,,,,189,0.0%,189,0.0%
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,12,14,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,0.0%,185,0.0%
United Nations**,,,,,,,,,,,16,0 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14,49,11,,,1,9,30,,,,2,1,2,1,0 ,,,,,5,23,3,9,,,,,,,,4,,184,0.0%,184,0.0%
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,,,,163,0.0%,163,0.0%
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,7,14,,16,,13,,,,,,,9,,,,,2,0 ,1,,1,2,,,,,,,,,,161,0.0%,161,0.0%
Panama,,,,,,,,,,,,,,,0 ,,,,0 ,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0 ,7,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.0%,156,0.0%
Malta,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,,,8,,1,,,,,,,,,,,,13,,,0 ,1,6,0 ,,0 ,0 ,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,,45,,,151,0.0%,151,0.0%
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,4,,2,,8,12,6,6,4,10,10,,1,,1,7,,,,,,,,,,,,,,,,,3,,,0 ,8,,,14,,9,,,144,0.0%,144,0.0%
Mauritius,,,,,,,,,,,,,,,,,,,0 ,,,0 ,,,2,,,,,3,,,,,,1,,,,,10,,,8,,,29,1,,,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,,,,143,0.0%,143,0.0%
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,,3,15,,,10,,1,,0 ,,,,,,,,,,,,,,,15,,,,,,8,,10,16,,8,,10,,,19,,,,,138,0.0%,138,0.0%
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.0%,138,0.0%
Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0 ,,,,,0 ,,0 ,1,3,6,1,6,,,2,,,,1,,,,,,,,,,,,,,9,,0 ,,,7,,,,,,,2,,1,44,2,43,,,137,0.0%,137,0.0%
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,3,2,,,,,,,,,4,8,12,1,15,,2,14,53,,,129,0.0%,129,0.0%
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,13,7,,34,,,,4,,,7,19,4,5,,,3,,,,124,0.0%,124,0.0%
Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,123,0.0%,123,0.0%
Malawi,,,,,,,,,,,,,,,5,,,,,,,,0 ,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,4,,,,,,,,,,,,,,3,,,,1,2,2,2,0 ,,,,,,19,,,,123,0.0%,123,0.0%
Luxembourg,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,8,8,,,,,,,,,3,88,,0 ,1,3,,119,0.0%,119,0.0%
Guyana,,,,,,,,,,,,,,,,,,,0 ,,,2,,,2,0 ,16,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,3,,,,,,0 ,,,,,,,,,,0 ,2,,5,,5,9,,114,0.0%,114,0.0%
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0 ,2,,1,,,,,26,6,,,10,3,1,3,,1,0 ,0 ,,,,,,,,,,,,,7,,,,,3,,1,0 ,0 ,20,2,,,1,,,,1,,3,11,6,,113,0.0%,113,0.0%
Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0 ,1,1,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,9,3,4,3,12,,,33,30,,,,,,,,,,,,,1,,,108,0.0%,108,0.0%
LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,53,20,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.0%,95,0.0%
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9,,10,,,,,2,,2,,,1,3,,,7,,,,89,0.0%,89,0.0%
Burundi,,,,,,,,,,,,,,,,,9,2,,3,,,,0 ,,,,,,,1,5,3,11,2,,,,,6,6,,,,,,,,12,,,1,3,,,,,,,1,2,,5,,,1,3,,,2,,,,,,,80,0.0%,80,0.0%
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,80,0.0%
Yemen Arab Republic (North Yemen),,,,,,,,,,,,,,,,,,42,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,80,0.0%
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,5,10,,,,0 ,2,,8,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0 ,7,,3,,,,,,,,,12,,79,0.0%,79,0.0%
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,25,,8,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,78,0.0%,78,0.0%
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,9,1,15,19,,,77,0.0%,77,0.0%
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,7,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,,3,,,,,,,76,0.0%,76,0.0%
Haiti,4,,3,,,,4,1,,,6,,,,1,,,,,8,,,,5,5,1,1,0 ,9,,,3,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.0%,66,0.0%
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0.0%,63,0.0%
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,1,1,,,,2,,1,,,,,,,,4,7,,12,3,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,1,,0 ,,,,63,0.0%,63,0.0%
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,16,,59,0.0%,59,0.0%
